,Unnamed: 0,index,Unnamed: 0.1,lien,Modèle,Kilométrage,Année,data de MàJ,Carrosserie,Energie,Puissance,Boite,Couleur,Description,Prix,marque,vehicule,model
0,0,0,0,https://www.automobile.tn/fr/occasion/ford/focus/49278,Ford Focus Essence ,128257.1318166451,2010,2020-12-02,Coupé,Essence,6,Manuelle,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Jantes en alliage   Peinture métallisée   Rétroviseurs électriques    Accoudoir avant   Accoudoir arrière   Autoradio CD/Mp3   Boîte à gants réfrigérée   Bouton Start & Stop   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Vitres électriques   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",44960.71428571428,Ford,Focus,Focus
1,1,1,1,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/49277,Volkswagen Golf 7 1.2Boite 6 Imp ,140000.0,2013,2020-12-02,Citadine,Essence,5,Manuelle,Gris argent,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Chargeur CD   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",48600.0,Volkswagen,Golf 2,Golf 7
2,2,2,2,https://www.automobile.tn/fr/occasion/hyundai/i10/49276,Hyundai i10 ,100000.0,2016,2020-12-02,Compacte,Essence,5,Automatique,Blanc,,33000.0,Hyundai,Grand i10,I 10
3,3,3,3,https://www.automobile.tn/fr/occasion/mercedes-benz/cla/47505,Mercedes-Benz CLA 200 EDITION ,99441.75872465577,2019,2019-11-19,Coupé,Essence,8,Automatique,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Caméra de recul   Chargeur CD   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",86000.0,Mercedes-Benz,Classe C Coupe,Vito
4,4,4,4,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/45099,Mercedes-Benz Classe A 200 kit AMG ,96945.95587705504,2018,2019-05-07,Compacte,Essence,9,Automatique,Blanc,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit ouvrant   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Caméra de recul   Chargeur CD   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",74237.5,Mercedes-Benz,Classe M,Classe A
5,5,5,5,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/47973,Mercedes-Benz Classe A 200 kit AMG EDITION ,99424.30555788931,2019,2019-12-13,Berline,Essence,9,Automatique,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit ouvrant   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",74237.5,Mercedes-Benz,Classe M,Classe A
6,6,6,6,https://www.automobile.tn/fr/occasion/toyota/hilux/48615,Toyota Hilux 4x4 ,96954.71329642195,2018,2020-01-16,Pick up,Diesel,8,Manuelle,Blanc,"  Antibrouillards   Détecteur de luminosité   Fermeture centralisée   Jantes en alliage   Peinture métallisée   Rétroviseurs électriques   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",77000.0,Toyota,Hilux,Hilux
7,7,7,7,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/48500,Mercedes-Benz Classe E 250 KIT AMG ,109289.0,2013,2020-10-01,Berline,Essence,12,Automatique,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",66007.69230769231,Mercedes-Benz,Classe M,Classe E
8,8,8,8,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-s/48093,Mercedes-Benz Classe S 350 ,123398.0,2007,2019-12-20,Berline,Essence,19,Automatique,Gris argent,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit ouvrant   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Caméra de recul   Chargeur CD   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",42000.0,Mercedes-Benz,Classe S,Classe S
9,9,9,9,https://www.automobile.tn/fr/occasion/bmw/x3/46200,BMW X3 XDrive20d M SPORT ,96954.71329642195,2018,2019-09-16,4 x 4,Diesel,11,Automatique,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs rabattables   Toit ouvrant   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",65500.0,BMW,Cabriolet,X3
