,lien,Marque,Modèle,Carburant,Kilométrage,Puissance fiscale,Année,Prix
1,https://www.tayara.tn//listings/voitures-9/9623442f-2a52-4611-b4ee-ff0ec02fc20e/citroën-c15,Citroen,C15,Diesel,30000.0,7.0,2000.0,5400.0
2,https://www.tayara.tn//listings/voitures-9/10f2dd79-1e8d-4b4d-bc3f-c79af1cc58b9/clio-chipie-propre,Renault,Clio,Essence,240000.0,4.0,1996.0,12000.0
3,https://www.tayara.tn//listings/voitures-9/4c95873b-348a-49d2-9903-62b6d069e077/-mini-cooper-s,mini,Cooper,Essence,110000.0,10.0,2009.0,36000.0
4,https://www.tayara.tn//listings/voitures-9/e66c5fea-d6c2-4899-9b81-bb87d0723c92/amarok-,Volkswagen,Amarok,Diesel,193000.0,7.0,2011.0,55000.0
5,https://www.tayara.tn//listings/voitures-9/273a4688-e98e-48d3-8707-201aebb1300e/audi-a3-sline-1-6-fsi-sportback,Audi,A3,Essence,243000.0,7.0,2009.0,32000.0
6,https://www.tayara.tn//listings/voitures-9/79302309-83f7-453c-ae5f-dd3f8766cfda/106-peugeot-,Peugeot,106,Essence,250000.0,4.0,1995.0,10800.0
7,https://www.tayara.tn//listings/voitures-9/3226fdc3-8cc5-4f15-a5a1-8eceb5d8c3a9/a-vendre-belle-chevrolet,Chevrolet,Aveo,Essence,190000.0,5.0,2012.0,16500.0
8,https://www.tayara.tn//listings/voitures-9/9dbbcb03-80cf-4117-8876-6f172235c4b7/renault-symbol,Renault,Symbol,Essence,230000.0,5.0,2012.0,22800.0
9,https://www.tayara.tn//listings/voitures-9/a012610e-fdca-4350-b18b-d857f6fef3e3/volkswagen-fox-essence-4cv,Volkswagen,Fox,Essence,81000.0,4.0,2014.0,27000.0
10,https://www.tayara.tn//listings/voitures-9/24691f96-b2b6-4e5a-b2cb-7e500646fb43/mitsubishi-l200,Mitsubishi,L200,Diesel,250000.0,10.0,2011.0,22000.0
11,https://www.tayara.tn//listings/voitures-9/0d5f925a-e89a-4b4d-b607-9cb3721b5818/mahindra-xuv-500-4×4,Mahindra,Hover,Diesel,120000.0,9.0,2015.0,50000.0
