,lien,Kilométrage,Année,Marque,Modèle,Carburant,Puissance fiscale,Couleur du véhicule,Etat du véhicule,Type de carrosserie,Boite,Cylindrée,Description,Prix
0,https://www.tayara.tn//listings/voitures-9/d84fa612-e737-4164-9645-c7c4cbac9340/20890552-sala-ejdida-bakkou-7-blayes,19000.0,3000.0,AC,Cobra,Hybride,4.0,Blanc,RS,Berline,Manuelle,1.4, 600,600000.0
1,https://www.tayara.tn//listings/voitures-9/9623442f-2a52-4611-b4ee-ff0ec02fc20e/citroën-c15,30000.0,2000.0,Citroen,C15,Diesel,7.0,Rouge,Avec kilométrage,Utilitaire,Manuelle,1.9, karhba nthifa,5400.0
2,https://www.tayara.tn//listings/voitures-9/10f2dd79-1e8d-4b4d-bc3f-c79af1cc58b9/clio-chipie-propre,240000.0,1996.0,Renault,Clio,Essence,4.0,Noir,Avec kilométrage,Cabriolet,Manuelle,1.2, plus info 25060449,12000.0
3,https://www.tayara.tn//listings/voitures-9/4c95873b-348a-49d2-9903-62b6d069e077/-mini-cooper-s,110000.0,2009.0,mini,Cooper,Essence,10.0,Noir,Avec kilométrage,Compacte,Manuelle,1.6, ✅ Cylindrée :  1598 cc ✅  Boite 6 Mécanique  ✅ Modèle 2009 ✅ 110 000 KM ✅ Energie : essence ✅ Puissance fiscal : 10 CV ✅ 175 ch dine ☎ ///Tel : 26 475 000,36000.0
4,https://www.tayara.tn//listings/voitures-9/e66c5fea-d6c2-4899-9b81-bb87d0723c92/amarok-,193000.0,2011.0,Volkswagen,Amarok,Diesel,7.0,Gris,Avec kilométrage,Pick up,Manuelle,2.0," Amarok août 2011 , 193000 km ",55000.0
5,https://www.tayara.tn//listings/voitures-9/273a4688-e98e-48d3-8707-201aebb1300e/audi-a3-sline-1-6-fsi-sportback,243000.0,2009.0,Audi,A3,Essence,7.0,Noir,Avec kilométrage,Berline,Manuelle,1.6," Bonjour, je vends mon Audi A3 Sportback pack S Line (intérieur et extérieur) la voiture est une phase 2 sortie fin 2009. Boite manuelle 4 pneus neufs (235/45) 1.6 FSI (102) 7cv fiscaux bon état général  Numéro: 29621800 52435423",32000.0
6,https://www.tayara.tn//listings/voitures-9/79302309-83f7-453c-ae5f-dd3f8766cfda/106-peugeot-,250000.0,1995.0,Peugeot,106,Essence,4.0,Blanc,Avec kilométrage,Compacte,Manuelle,>4.0, 106 PEUGEOT ,10800.0
7,https://www.tayara.tn//listings/voitures-9/3226fdc3-8cc5-4f15-a5a1-8eceb5d8c3a9/a-vendre-belle-chevrolet,190000.0,2012.0,Chevrolet,Aveo,Essence,5.0,Gris,Avec kilométrage,Berline,Manuelle,1.4, A vendre belle chevrolet toute option kol chay dorigine clim en marche 4 pnue neuf Tel 20580355,16500.0
8,https://www.tayara.tn//listings/voitures-9/9dbbcb03-80cf-4117-8876-6f172235c4b7/renault-symbol,230000.0,2012.0,Renault,Symbol,Essence,5.0,Beige,Avec kilométrage,Berline,Manuelle,1.2, renault saymbol tt neuf  direction assistée  climatiseur  4 roues neuf  entretien complet plus d'info appeler 22723550,22800.0
9,https://www.tayara.tn//listings/voitures-9/a012610e-fdca-4350-b18b-d857f6fef3e3/volkswagen-fox-essence-4cv,81000.0,2014.0,Volkswagen,Fox,Essence,4.0,Gris,Avec kilométrage,Compacte,Manuelle,3.0," 4 cv, 3 cylindres, essence, clim , 2 portes , 81000km",27000.0
10,https://www.tayara.tn//listings/voitures-9/24691f96-b2b6-4e5a-b2cb-7e500646fb43/mitsubishi-l200,250000.0,2011.0,Mitsubishi,L200,Diesel,10.0,Blanc,Avec kilométrage,Berline,Manuelle,2.0, voiture ndhifa barcha moteur tayara tous d'origine,22000.0
11,https://www.tayara.tn//listings/voitures-9/0d5f925a-e89a-4b4d-b607-9cb3721b5818/mahindra-xuv-500-4×4,120000.0,2015.0,Mahindra,Hover,Diesel,9.0,Gris,Nouveau,4 x 4,Manuelle,2.2," A vendre une Mahindra Xuv 500 4×4 double ponts 7 places très robuste , économique et bien entretenu en parfait état tole et moteur modèle 2015. - 115000 km - 9 chv 2.2L diesel - Salon cuir - Boite 6  - ABS  - ESP - EBD - Anti démarrage électronique - Controle de pression des pneus - Ecran tactile 7 pouces : Bluetooth , blue and me , aux , usb , navigation gps.. - Volant multifonctions - Antibrouillards - Double sortie d'embrayage - Aide démarrage en cote - Système de descente en cote - Système Start & Stop - Feux LED - Allumage auto des feux - Capteur de pluie - Radar de récul avec affichage de distance - Régulateur et limitateur de vitesse  - Climatisation climatronic Pour plus d'informations contactez 50759684",50000.0
12,https://www.tayara.tn//listings/voitures-9/21b2c609-965e-4d69-9462-5d848c09d927/bmw-316i-f30-luxury-,1000.0,2013.0,BMW,Serie 3,Essence,7.0,Noir,Avec kilométrage,Berline,Automatique,1.6, Bmw f30 très propre état impeccable entretenu par maison Bmw boite auto intérieur cuir beige double clé quatre pneus neufs 98267863,68500.0
13,https://www.tayara.tn//listings/voitures-9/c5950013-f8a2-4752-8aea-1acb2633ce24/ford-fiesta-titanium-,74000.0,2013.0,Ford,Fiesta,Essence,5.0,Gris,Nouveau,Autres,Manuelle,1.2, Toutes options Modèle 2013 5 chevaux Essence  74000 KM Bon état  1ère main  Conduite par une femme  Tel 98 648 173 / 52 982 991 ,30500.0
14,https://www.tayara.tn//listings/voitures-9/0ef84815-a3b9-4258-a348-5a74d86d8b1d/citroën-nemo-toutes-options-appelez-sur-le-53488095-,167000.0,2013.0,Citroen,Nemo,Essence,5.0,Noir,Avec kilométrage,Autres,Manuelle,1.4, Vente Citroën Nemo toutes options. ,26500.0
15,https://www.tayara.tn//listings/voitures-9/e6a8f2ca-78f3-428c-8a9d-4423cd929de1/chevrolet-aveo-très-propre,32000.0,2017.0,Chevrolet,Aveo,Diesel,5.0,Noir,Avec kilométrage,Berline,Manuelle,1.2, voiture presque neuve  très bonne état.. pour toute information contactez nous : 50 808 808 ,25900.0
16,https://www.tayara.tn//listings/voitures-9/92e0df7b-3f4f-488d-b912-becc2fd74375/c-élysée-1-er-main,150000.0,2014.0,Citroen,C-Elysée,Essence,5.0,Noir,Avec kilométrage,Compacte,Manuelle,1.2, karhba nthifa barcha en très bonne état  jente aluminium,23000.0
17,https://www.tayara.tn//listings/voitures-9/a49677a8-3e5a-4504-816b-baa1c9862b84/peugeot-206-essence,220000.0,2000.0,Peugeot,206,Essence,5.0,Vert,RS,Autres,Manuelle,1.4, 206 emporté RS série illimité Toutes options intérieur comme neuf  Clim glace peinture d'origine,14500.0
18,https://www.tayara.tn//listings/voitures-9/e9007c21-d6d7-49f7-a24e-5dc81a167903/ford-fiesta,140000.0,2010.0,Ford,Fiesta,Essence,5.0,Blanc,Avec kilométrage,Compacte,Manuelle,1.4, a vendre fors fiesta en bonne etat  annee: 2010 km : 140000 km toutes options clim vitre electrique retro electrique chaine de distribution deja changer a 125000 km prix legerement negociable,22500.0
19,https://www.tayara.tn//listings/voitures-9/5518c99c-5e7a-4ec5-9663-fe2c8bbdc108/polo-3-1999,220000.0,1999.0,Volkswagen,Polo,Essence,4.0,Noir,Avec kilométrage,Berline,Manuelle,<1.0, polo 3 1999  ,9500.0
