,lien, Marque , Modèle , Mise en circulation , Energie , Boite vitesse , kilométrage, Puissance fiscal, Etat du véhicule ,date annonce,Prix
0,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/tap1000-bmw-520i-f10-bva-17593,BMW,SERIE 5 ,05-2013,Essence,Automatique,68000 Km,10 CV,Excellent, Aujourd'hui 16:24,115000
1,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2008-volkswagen-passat-bvm6-18081,Volkswagen,Passat,05-2008,Diesel,Manuelle,164000 Km,10 CV,Excellent, Aujourd'hui 16:23,37900
2,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-citroen-c5-exclusive-bva-18071,Citroen,C5,05-2011,Essence,Automatique,153000 Km,9 CV,Excellent, Aujourd'hui 16:23,31900
3,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-audi-a4-18065,Audi,A4,03-2010,Essence,Manuelle,125000 Km,9 CV,Excellent, Aujourd'hui 16:22,44900
4,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2012-ssangyong-rexton-bva-toit-ouvrant-7places-17832,Ssangyong ,Rexto N,06-2012,Diesel,Automatique,117000 Km,11 CV,Excellent, Aujourd'hui 16:22,62500
5,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-mercedes-c180-restylee-bva-17998,Mercedes,Classe C,03-2013,Essence,Automatique,105000 Km,9 CV,Excellent, Hier 12:52,69000
6,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-mitsubish-attrage-bva-17995,Mitsubishi,Carisma,11-2017,Essence,Automatique,70000 Km,4 CV,Excellent, Hier 12:52,36000
7,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-dacia-sandero-17993,Dacia,Sandero ,03-2017,Essence,Manuelle,91000 Km,5 CV,Excellent, Hier 12:52,27900
8,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/tap653-volkswagen-golf-7-kit-r-toit-pano-bvm6-17235,Volkswagen,Golf 7,06-2015,Essence,Manuelle,131000 Km,5 CV,Excellent, Hier 12:52,65000
9,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-range-rover-evoque-sd4-toit-pano-17826,Land-Rover,Evoque,05-2013,Diesel,Automatique,128000 Km,11 CV,Excellent, Hier 12:52,140000
10,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-jeep-grand-cherokee-bva-17822,Jeep,Cherokee,02-2006,Diesel,Automatique,205000 Km,15 CV,Excellent, Hier 12:52,48500
11,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-peugeot-301-ehdi-18012,Peugeot,301,08-2013,Diesel,Manuelle,447000 Km,5 CV,Excellent, Hier 12:51,24000
12,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-nissan-qashqai-tekna-bva-toit-pano-17820,Nissan,Qashqai,02-2015,Essence,Automatique,104000 Km,6 CV,Excellent, Hier 12:51,74000
13,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2009-peugeot-308-cc-17773,Peugeot,308 CC,10-2009,Essence,Manuelle,140000 Km,9 CV,Excellent, Hier 12:51,33500
